,ticker,class_code,figi,uid,type,min_price_increment,scale,lot,trading_status,api_trade_available_flag,currency,exchange,buy_available_flag,sell_available_flag,short_enabled_flag,klong,kshort
0,CNX,SPBXM,BBG000CKVSG8,82f8d11f-0307-45c3-bb94-8758a2f673a3,shares,0.01000000,2,1,SECURITY_TRADING_STATUS_BREAK_IN_TRADING,True,usd,unknown,False,False,False,0E-8,0E-8
1,SLM,SPBXM,BBG000BBCQD7,f8e85601-10e3-4af6-a44b-b7d2ca3f7f62,shares,0.01000000,2,1,SECURITY_TRADING_STATUS_BREAK_IN_TRADING,True,usd,unknown,False,False,False,0E-8,0E-8
2,ACLS,SPBXM,BBG000DW34S2,98da7119-dc33-4567-ae41-1944f6f49334,shares,0.01000000,2,1,SECURITY_TRADING_STATUS_BREAK_IN_TRADING,True,usd,unknown,False,False,False,0E-8,0E-8
3,AMPH,SPBXM,BBG000BW90S6,c1ad8284-45de-468f-8a37-271f254ae601,shares,0.01000000,2,1,SECURITY_TRADING_STATUS_BREAK_IN_TRADING,True,usd,unknown,False,False,False,0E-8,0E-8
4,RELY,SPBXM,BBG012C7JST2,fb4f9c78-ba9a-4733-be60-50d6eacea5e0,shares,0.01000000,2,1,SECURITY_TRADING_STATUS_BREAK_IN_TRADING,True,usd,unknown,False,False,False,0E-8,0E-8
5,MDT,SPBXM,BBG000BNWG87,2de14a4a-d4f9-4e0a-9039-625e3ab128b4,shares,0.01000000,2,1,SECURITY_TRADING_STATUS_BREAK_IN_TRADING,True,usd,unknown,False,False,False,0E-8,0E-8
6,AJG,SPBXM,BBG000BBHXQ3,cb9f9c90-81b0-43fc-951f-9983de0c47b5,shares,0.01000000,2,1,SECURITY_TRADING_STATUS_BREAK_IN_TRADING,True,usd,unknown,False,False,False,0E-8,0E-8
7,GWRE,SPBXM,BBG001C7PM75,84593bea-c463-4c4c-bce1-c205af710844,shares,0.01000000,2,1,SECURITY_TRADING_STATUS_BREAK_IN_TRADING,True,usd,unknown,False,False,False,0E-8,0E-8
8,PAYC,SPBXM,BBG0064N0ZZ5,f9259587-5304-42ee-9ec6-c4abfeece909,shares,0.01000000,2,1,SECURITY_TRADING_STATUS_BREAK_IN_TRADING,True,usd,unknown,False,False,False,0E-8,0E-8
9,NCNO,SPBXM,BBG014GJ8XH2,cd960c45-ed30-4236-8b2b-f42cf31e17ed,shares,0.01000000,2,1,SECURITY_TRADING_STATUS_BREAK_IN_TRADING,True,usd,unknown,False,False,False,0E-8,0E-8
10,DNLI,SPBXM,BBG008P7F869,ca4bc3e7-8c3c-45e2-9a39-2bc4f48fd69c,shares,0.01000000,2,1,SECURITY_TRADING_STATUS_BREAK_IN_TRADING,True,usd,unknown,False,False,False,0E-8,0E-8
